Change,Close,Date,Momentum
0.0,397.9700012207031,2014-01-02,0
0.003844507813663883,396.4400024414063,2014-01-03,0
0.007088077745154195,393.6300048828125,2014-01-06,0
0.011177994161787276,398.0299987792969,2014-01-07,1
0.009773169510759587,401.9200134277344,2014-01-08,1
0.0022641412015005184,401.010009765625,2014-01-09,0
0.008353921403292589,397.6600036621094,2014-01-10,0
0.01679825130579947,390.9800109863281,2014-01-13,0
0.016778345118065745,397.5400085449219,2014-01-14,1
0.004200868822856264,395.8699951171875,2014-01-15,0
0.00017684422937376,395.7999877929688,2014-01-16,0
0.009626067903232451,399.6099853515625,2014-01-17,1
0.018618159490836696,407.0499877929688,2014-01-21,1
0.006166267837658164,404.5400085449219,2014-01-22,0
0.011544008822592874,399.8699951171875,2014-01-23,0
0.03068494551604449,387.6000061035156,2014-01-24,0
0.0034055915981235,386.2799987792969,2014-01-27,0
0.021098669157708364,394.42999267578125,2014-01-28,1
0.025936112006469482,384.20001220703125,2014-01-29,0
0.048958867675563046,403.010009765625,2014-01-30,1
0.10997247276809216,358.69000244140625,2014-01-31,0
0.03496057447815359,346.1499938964844,2014-02-03,0
0.005200110767834269,347.95001220703125,2014-02-04,1
0.0043109640677566514,346.45001220703125,2014-02-05,0
0.023495407256603273,354.5899963378906,2014-02-06,1
0.018302801267384473,361.0799865722656,2014-02-07,1
0.0005815649243581044,360.8699951171875,2014-02-10,0
0.0025494317626368838,361.7900085449219,2014-02-11,1
0.03466101398254849,349.25,2014-02-12,0
0.02276309866007516,357.20001220703125,2014-02-13,1
0.00041991570929017584,357.3500061035156,2014-02-14,1
0.010354028666112423,353.6499938964844,2014-02-18,0
0.017729362708563037,347.3800048828125,2014-02-19,0
0.006966385157869473,349.79998779296875,2014-02-20,1
0.008690617877159502,346.760009765625,2014-02-21,0
0.014476839520984223,351.7799987792969,2014-02-24,1
0.01859118928766899,358.32000732421875,2014-02-25,1
0.004130331654662167,359.79998779296875,2014-02-26,1
0.000917223738299969,360.1300048828125,2014-02-27,1
0.005470250170752004,362.1000061035156,2014-02-28,1
0.006407089989265331,359.7799987792969,2014-03-03,0
0.011451429015415796,363.8999938964844,2014-03-04,1
0.02327562891664273,372.3699951171875,2014-03-05,1
0.0005639322658423087,372.1600036621094,2014-03-06,0
0.0002687180313079057,372.05999755859375,2014-03-07,0
0.004112236707349662,370.5299987792969,2014-03-10,0
0.00461498788414325,368.8200073242188,2014-03-11,0
0.004934676232514627,370.6400146484375,2014-03-12,1
0.0023472779052545498,371.510009765625,2014-03-13,1
0.006002477484137858,373.739990234375,2014-03-14,1
0.003478403019520668,375.0400085449219,2014-03-17,1
0.009945553497669641,378.7699890136719,2014-03-18,1
0.014626232774592345,373.2300109863281,2014-03-19,0
0.011413899312027857,368.9700012207031,2014-03-20,0
0.022630582637857825,360.6199951171875,2014-03-21,0
0.024319197860401414,351.8500061035156,2014-03-24,0
0.008128422060396615,354.7099914550781,2014-03-25,1
0.03185697630510593,343.4100036621094,2014-03-26,0
0.01438514425533991,338.4700012207031,2014-03-27,0
0.0005317832455818848,338.2900085449219,2014-03-28,0
0.005675643321518361,336.3699951171875,2014-03-31,0
0.019680694512841934,342.989990234375,2014-04-01,1
0.0030029995294995255,341.9599914550781,2014-04-02,0
0.024388807305799152,333.6199951171875,2014-04-03,0
0.031832609773455325,323.0,2014-04-04,0
0.01622287998258514,317.760009765625,2014-04-07,0
0.02929883330964354,327.07000732421875,2014-04-08,1
0.014492280332131863,331.80999755859375,2014-04-09,1
0.044302499367685266,317.1099853515625,2014-04-10,0
0.01696564161885313,311.7300109863281,2014-04-11,0
0.013409015906282365,315.9100036621094,2014-04-14,1
0.0005380738444043074,316.0799865722656,2014-04-15,1
0.024044566016134115,323.67999267578125,2014-04-16,1
0.0038000834594685107,324.9100036621094,2014-04-17,1
0.018343514782254062,330.8699951171875,2014-04-21,1
0.004684582512293916,329.32000732421875,2014-04-22,0
0.01439335796955248,324.5799865722656,2014-04-23,0
0.038726994405799936,337.1499938964844,2014-04-24,1
0.0988284381652667,303.8299865722656,2014-04-25,0
0.02386202916240328,296.5799865722656,2014-04-28,0
0.01281279412837572,300.3800048828125,2014-04-29,1
0.012484186493914569,304.1300048828125,2014-04-30,1
0.012363166097583199,307.8900146484375,2014-05-01,1
0.00038973370839751254,308.010009765625,2014-05-02,1
0.006623090038197254,310.04998779296875,2014-05-05,1
0.04086432320267157,297.3800048828125,2014-05-06,0
0.015703858198451073,292.7099914550781,2014-05-07,0
0.01499772559534614,288.32000732421875,2014-05-08,0
0.01359594482025727,292.239990234375,2014-05-09,1
0.03633997903117338,302.8599853515625,2014-05-12,1
0.005877400062635302,304.6400146484375,2014-05-13,1
0.023043655441493085,297.6199951171875,2014-05-14,0
0.008164749397379848,295.19000244140625,2014-05-15,0
0.008503031081221068,297.70001220703125,2014-05-16,1
0.003157549220228243,296.760009765625,2014-05-19,0
0.014927862683654607,301.19000244140625,2014-05-20,1
0.012683048219576602,305.010009765625,2014-05-21,1
0.00032787810338575914,304.9100036621094,2014-05-22,0
0.024039836293427947,312.239990234375,2014-05-23,1
0.004547729165282051,310.82000732421875,2014-05-27,0
0.002123427213682934,310.1600036621094,2014-05-28,0
0.011671379528132679,313.7799987792969,2014-05-29,1
0.003919978937833054,312.54998779296875,2014-05-30,0
0.011870073908099465,308.8399963378906,2014-06-02,0
0.005342552506311963,307.19000244140625,2014-06-03,0
0.0013346907739537504,306.7799987792969,2014-06-04,0
0.05472980185061189,323.57000732421875,2014-06-05,1
0.018852198799140827,329.6700134277344,2014-06-06,1
0.006582380378402402,327.5,2014-06-09,0
0.0149923775942271,332.4100036621094,2014-06-10,1
0.008393274914066317,335.20001220703125,2014-06-11,1
0.027714821618753525,325.9100036621094,2014-06-12,0
0.0011045544706130548,326.2699890136719,2014-06-13,1
0.0041376962300355945,327.6199951171875,2014-06-16,1
0.006104633507746111,325.6199951171875,2014-06-17,0
0.026902554809241235,334.3800048828125,2014-06-18,1
0.022070712288550003,327.0,2014-06-19,0
0.008562653801127676,324.20001220703125,2014-06-20,0
0.009376859694263204,327.239990234375,2014-06-23,1
0.009412011563928005,324.1600036621094,2014-06-24,0
0.01011845613969022,327.44000244140625,2014-06-25,1
0.005344490553847812,325.69000244140625,2014-06-26,0
0.0034388378789397883,324.57000732421875,2014-06-27,0
0.0006469835485087222,324.7799987792969,2014-06-30,1
0.023431294715632982,332.3900146484375,2014-07-01,1
0.001383890715142719,332.8500061035156,2014-07-02,1
0.013940165377122902,337.489990234375,2014-07-03,1
0.011674427554636676,333.54998779296875,2014-07-07,0
0.029200991128263864,323.80999755859375,2014-07-08,0
0.01902351288889626,329.9700012207031,2014-07-09,1
0.006212648984407522,327.9200134277344,2014-07-10,0
0.055745297727384194,346.20001220703125,2014-07-11,1
0.026343139213217726,355.32000732421875,2014-07-14,1
0.002476654465476024,354.44000244140625,2014-07-15,0
0.00411914977153145,355.8999938964844,2014-07-16,1
0.009693682912668363,352.45001220703125,2014-07-17,0
0.01761949564476207,358.6600036621094,2014-07-18,1
0.0030669884912841623,359.760009765625,2014-07-21,1
0.0030019639285900905,360.8399963378906,2014-07-22,1
0.007482490069988976,358.1400146484375,2014-07-23,0
