Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,187.39999389648438,185.1999969482422,187.2100067138672,185.52999877929688,4546500.0,151.19866943359375
2014-01-03,187.35000610351562,185.3000030517578,185.8300018310547,186.63999938964844,4063200.0,152.10330200195312
2014-01-06,187.36000061035156,185.3000030517578,187.14999389648438,186.0,4067800.0,151.58175659179688
2014-01-07,190.35000610351562,186.3800048828125,186.38999938964844,189.7100067138672,5932300.0,154.60523986816406
2014-01-08,189.4199981689453,187.25999450683594,189.3300018310547,187.97000122070312,4603700.0,153.18722534179688
2014-01-09,189.5,186.5500030517578,189.02000427246094,187.3800048828125,4321300.0,152.70640563964844
2014-01-10,188.57000732421875,186.27999877929688,188.30999755859375,187.25999450683594,4022400.0,152.60861206054688
2014-01-13,186.9499969482422,183.86000061035156,186.25999450683594,184.16000366210938,5784700.0,150.08224487304688
2014-01-14,186.42999267578125,183.8800048828125,185.05999755859375,185.9199981689453,4619200.0,151.51654052734375
2014-01-15,188.64999389648438,185.49000549316406,185.82000732421875,187.74000549316406,4816500.0,152.99978637695312
2014-01-16,188.99000549316406,186.8000030517578,187.52999877929688,188.75999450683594,4770300.0,153.8310089111328
2014-01-17,190.80999755859375,187.86000061035156,188.0399932861328,190.08999633789062,7644600.0,154.91493225097656
2014-01-21,190.38999938964844,186.7899932861328,190.22999572753906,188.42999267578125,11076300.0,153.56210327148438
2014-01-22,183.5,179.6699981689453,181.27999877929688,182.25,13796100.0,148.52566528320312
2014-01-23,183.72000122070312,180.7100067138672,181.42999267578125,182.72999572753906,6973900.0,148.91685485839844
2014-01-24,182.80999755859375,179.63999938964844,181.25,179.63999938964844,6890600.0,146.39862060546875
2014-01-27,179.64999389648438,177.66000366210938,179.61000061035156,177.89999389648438,5208600.0,144.98062133789062
2014-01-28,178.4499969482422,176.16000366210938,178.0500030517578,176.85000610351562,5333300.0,144.12490844726562
2014-01-29,178.52999877929688,175.88999938964844,175.97999572753906,176.39999389648438,4970900.0,143.75816345214844
2014-01-30,177.86000061035156,176.36000061035156,177.1699981689453,177.36000061035156,4853700.0,144.54054260253906
2014-01-31,177.83999633789062,175.33999633789062,176.11000061035156,176.67999267578125,5193400.0,143.9863739013672
2014-02-03,176.02000427246094,172.72000122070312,176.02000427246094,172.89999389648438,7186800.0,140.90579223632812
2014-02-04,173.75,172.36000061035156,173.52999877929688,172.83999633789062,4349800.0,140.85691833496094
